variable name,long name,CF convention,dimensions,output frequency
AEROD_v,Total Aerosol Optical Depth in visible band,atmosphere_optical_thickness_due_to_aerosol,"[lat, lon]",[month]
ANRAIN,Average rain number conc,number_concentration_of_rain_particles_in_air,"[lat, lon, lev]",[month]
ANSNOW,Average snow number conc,number_concentration_of_snow_particles_in_air,"[lat, lon, lev]",[month]
AREI,Average ice effective radius,effective_radius_of_cloud_ice_particles,"[lat, lon, lev]",[month]
AREL,Average droplet effective radius,effective_radius_of_cloud_liquid_water_particles,"[lat, lon, lev]",[month]
AWNC,Average cloud water number conc,number_concentration_of_cloud_liquid_water_particles_in_air,"[lat, lon, lev]",[month]
AWNI,Average cloud ice number conc,number_concentration_of_cloud_ice_particles_in_air,"[lat, lon, lev]",[month]
CLDHGH,Vertically-integrated high cloud,cloud_area_fraction_in_atmosphere_layer,"[lat, lon]",[month]
CLDLOW,Vertically-integrated low cloud,cloud_area_fraction_in_atmosphere_layer,"[lat, lon]",[month]
CLDMED,Vertically-integrated mid-level cloud,cloud_area_fraction_in_atmosphere_layer,"[lat, lon]",[month]
CLDTOT,Vertically-integrated total cloud,cloud_area_fraction,"[lat, lon]",[month]
CLOUD,Cloud fraction,cloud_area_fraction_in_atmosphere_layer,"[lat, lon, lev]",[month]
DCQ,Q tendency due to moist processes,tendency_of_specific_humidity_due_to_moist_processes,"[lat, lon, lev]",[month]
DTCOND,T tendency - moist processes,tendency_of_air_temperature_due_to_moist_processes,"[lat, lon, lev]",[month]
FLDS,Downwelling longwave flux at surface,surface_downwelling_longwave_flux_in_air,"[lat, lon]",[month]
FLNS,Net longwave flux at surface,surface_net_downward_longwave_flux,"[lat, lon]",[month]
FLNSC,Clearsky net longwave flux at surface,surface_net_downward_longwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FLNT,Net longwave flux at top of model,toa_net_upward_longwave_flux,"[lat, lon]",[month]
FLNTC,Clearsky net longwave flux at top of model,toa_net_upward_longwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FLUT,Upwelling longwave flux at top of model,toa_outgoing_longwave_flux,"[lat, lon]",[month]
FLUTC,Clearsky upwelling longwave flux at top of model,toa_outgoing_longwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FSDS,Downwelling solar flux at surface,surface_downwelling_shortwave_flux_in_air,"[lat, lon]",[month]
FSDSC,Clearsky downwelling solar flux at surface,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,"[lat, lon]",[month]
FSNS,Net solar flux at surface,surface_net_downward_shortwave_flux,"[lat, lon]",[month]
FSNSC,Clearsky net solar flux at surface,surface_net_downward_shortwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FSNT,Net solar flux at top of model,toa_net_upward_shortwave_flux,"[lat, lon]",[month]
FSNTC,Clearsky net solar flux at top of model,toa_net_upward_shortwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FSNTOA,Net solar flux at top of atmosphere,toa_net_upward_shortwave_flux,"[lat, lon]",[month]
FSNTOAC,Clearsky net solar flux at top of atmosphere,toa_net_upward_shortwave_flux_assuming_clear_sky,"[lat, lon]",[month]
FSUTOA,Upwelling solar flux at top of atmosphere,toa_outgoing_shortwave_flux,"[lat, lon]",[month]
H216OI,H216O isotope mmr for ICE,mass_fraction_of_cloud_ice_in_air,"[lat, lon, lev]",[month]
H216OL,H216O isotope mmr for LIQUID,mass_fraction_of_cloud_liquid_water_in_air,"[lat, lon, lev]",[month]
H216OR,H216O isotope mmr for RAINS,precipitation_flux,"[lat, lon, lev]",[month]
H216OS,H216O isotope mmr for SNOWS,snowfall_flux,"[lat, lon, lev]",[month]
H216OV,H216O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
H216Or,H216O isotope mmr for RAINC,precipitation_flux,"[lat, lon, lev]",[month]
H216Os,H216O isotope mmr for SNOWC,snowfall_flux,"[lat, lon, lev]",[month]
H218OI,H218O isotope mmr for ICE,mass_fraction_of_cloud_ice_in_air,"[lat, lon, lev]",[month]
H218OL,H218O isotope mmr for LIQUID,mass_fraction_of_cloud_liquid_water_in_air,"[lat, lon, lev]",[month]
H218OR,H218O isotope mmr for RAINS,precipitation_flux,"[lat, lon, lev]",[month]
H218OS,H218O isotope mmr for SNOWS,snowfall_flux,"[lat, lon, lev]",[month]
H218OV,H218O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
H218Or,H218O isotope mmr for RAINC,precipitation_flux,"[lat, lon, lev]",[month]
H218Os,H218O isotope mmr for SNOWC,snowfall_flux,"[lat, lon, lev]",[month]
H2OI,H2O isotope mmr for ICE,mass_fraction_of_cloud_ice_in_air,"[lat, lon, lev]",[month]
H2OL,H2O isotope mmr for LIQUID,mass_fraction_of_cloud_liquid_water_in_air,"[lat, lon, lev]",[month]
H2OR,H2O isotope mmr for RAINS,precipitation_flux,"[lat, lon, lev]",[month]
H2OS,H2O isotope mmr for SNOWS,snowfall_flux,"[lat, lon, lev]",[month]
H2OV,H2O isotope mmr for VAPOR,mass_fraction_of_water_vapor_in_air,"[lat, lon, lev]","[month, day]"
H2Or,H2O isotope mmr for RAINC,precipitation_flux,"[lat, lon, lev]",[month]
H2Os,H2O isotope mmr for SNOWC,snowfall_flux,"[lat, lon, lev]",[month]
